&lIsland Panel	&lBảng Điều Khiển Đảo
&lIsland Bank	&lNgân Hàng Đảo
&eTeleport	&eDịch Chuyển
&7Teleport back to your island.	&7Dịch chuyển về đảo của bạn.
&eIsland Settings	&eCài Đặt Đảo
&7Manage settings regarding your island.	&7Quản lý các cài đặt của đảo bạn.
&eIsland Permissions	&eQuyền Hạn Đảo
&7Manage permissions in your island.	&7Quản lý quyền hạn trong đảo của bạn.
&eIsland Biomes	&eSinh Quản Đảo
&7Change the biome of your island.	&7Thay đổi sinh quản của đảo bạn.
&eIsland Bank	&eNgân Hàng Đảo
&7Open the bank of your island.	&7Mở ngân hàng của đảo bạn.
&eIsland Upgrades	&eNâng Cấp Đảo
&7Upgrade your island statistics!	&7Nâng cấp chỉ số đảo của bạn!
&eTop Islands	&eBảng Xếp Hạng Đảo
&7Check which island is the best on the server!	&7Xem đảo nào là tốt nhất trên máy chủ!
&eIsland Missions	&eNhiệm Vụ Đảo
&7Complete missions and get rewarded!	&7Hoàn thành nhiệm vụ và nhận phần thưởng!
&eIsland Counts	&eSố Lượng Khối Đảo
&7See all the blocks on your island!	&7Xem tất cả các khối trên đảo của bạn!
&eIsland Disband	&eGiải Tán Đảo
&7Disband your island.	&7Giải tán đảo của bạn.
&cThis action cannot be restored!	&cHành động này không thể khôi phục!
&eIsland Chest	&eRương Đảo
&7Open the community chest of the island.	&7Mở rương chung của đảo.
&eIsland Visitors	&eKhách Thăm Đảo
&7Check all the visitors of the island.	&7Xem tất cả khách thăm của đảo.
&eIsland Members	&eThành Viên Đảo
&7Manage the members of the island.	&7Quản lý thành viên của đảo.
&aDeposit Half Money	&aGửi Một Nửa Tiền
&7Deposit half of your money into the bank.	&7Gửi một nửa số tiền của bạn vào ngân hàng.
&aDeposit Money	&aGửi Tiền
&7Deposit money into the bank.	&7Gửi tiền vào ngân hàng.
&aDeposit All Money	&aGửi Tất Cả Tiền
&7Deposit all of your money into the bank.	&7Gửi tất cả tiền của bạn vào ngân hàng.
&aWithdraw Half Money	&aRút Một Nửa Tiền
&7Withdraw half of the money from the bank.	&7Rút một nửa tiền từ ngân hàng.
&aWithdraw Money	&aRút Tiền
&7Withdraw money from the bank.	&7Rút tiền từ ngân hàng.
&aWithdraw All Money	&aRút Tất Cả Tiền
&7Withdraw all of the money from the bank.	&7Rút tất cả tiền từ ngân hàng.
&6Balance	&6Số Dư
&7Your bank currently has ${2}	&7Ngân hàng của bạn hiện có ${2}
&7Next interest on {7}	&7Lãi suất tiếp theo vào {7}
&6Transaction Logs	&6Nhật Ký Giao Dịch
&lTransaction Logs &r{0}	&lNhật Ký Giao Dịch &r{0}
&eTransaction #{0}	&eGiao Dịch #{0}
&7Amount: ${4}	&7Số Tiền: ${4}
&7Time: {3}	&7Thời Gian: {3}
&7Status: {2}	&7Trạng Thái: {2}
&7Click to filter transactions by this player.	&7Nhấp để lọc giao dịch theo người chơi này.
&7Player: {1}	&7Người Chơi: {1}
&6Sort by creation time	&6Sắp xếp theo thời gian tạo
&6Sort by money	&6Sắp xếp theo tiền
&6Switch Sorting Type	&6Đổi Kiểu Sắp Xếp
&7Sorting Type: &e{1}&7.	&7Kiểu Sắp Xếp: &e{1}&7.
&l      Confirm Transfer	&l      Xác Nhận Chuyển Chủ Đảo
&l      Confirm Disband	&l      Xác Nhận Giải Tán Đảo
&l      Confirm Kick	&l      Xác Nhận Đuổi
&l      Confirm Leave	&l      Xác Nhận Rời Đảo
&l      Confirm Ban	&l      Xác Nhận Cấm
&c&lConfirm Ban	&c&lXác Nhận Cấm
&c&lConfirm Disband	&c&lXác Nhận Giải Tán Đảo
&c&lConfirm Kick	&c&lXác Nhận Đuổi
&c&lConfirm Leave	&c&lXác Nhận Rời Đảo
&c&lConfirm Transfer	&c&lXác Nhận Chuyển Chủ Đảo
&4Cancel	&4Hủy
&aConfirm	&aXác Nhận
&7Are you sure you want to ban that player?	&7Bạn có chắc muốn cấm người chơi đó?
&7Are you sure you want to delete your island?	&7Bạn có chắc muốn xóa đảo của bạn?
&7Are you sure you want to kick that player?	&7Bạn có chắc muốn đuổi người chơi đó?
&7Are you sure you want to leave your island?	&7Bạn có chắc muốn rời đảo của bạn?
&7Are you sure you want to transfer your island?	&7Bạn có chắc muốn chuyển chủ đảo của bạn?
&l        Border Color	&l        Màu Biên Giới
&aEnable Border	&aBật Biên Giới
&cDisable Border	&cTắt Biên Giới
&aGreen Color	&aMàu Xanh Lá
&bBlue Color	&bMàu Xanh Dương
&cRed Color	&cMàu Đỏ
&ePlayer Role	&eVai Trò Người Chơi
&eLeader	&eChủ Đảo
&eAdmin	&eQuản Trị Viên
&eModerator	&eĐiều Phối Viên
&eMember	&eThành Viên
&7Click to edit player''s role.	&7Nhấp để chỉnh sửa vai trò của người chơi.
&eRole: &7{1}	&eVai Trò: &7{1}
&e{0}''s Island	&eĐảo của {0}
&7Island Owner: {1}	&7Chủ Đảo: {1}
&7Last Time Joined: {3}	&7Lần Cuối Tham Gia: {3}
&eBan Player	&eCấm Người Chơi
&7Click to ban the player from the island.	&7Nhấp để cấm người chơi khỏi đảo.
&eKick Player	&eĐuổi Người Chơi
&7Click to kick the player from the island.	&7Nhấp để đuổi người chơi khỏi đảo.
&7Click to set player''s role to admin.	&7Nhấp để đặt vai trò người chơi thành quản trị viên.
&7Click to set player''s role to member.	&7Nhấp để đặt vai trò người chơi thành thành viên.
&7Click to set player''s role to moderator.	&7Nhấp để đặt vai trò người chơi thành điều phối viên.
&7Click to transfer leadership to player.	&7Nhấp để chuyển quyền chủ đảo cho người chơi.
&7Left-Click to expel the player.	&7Chuột Trái để trục xuất người chơi.
&7Right-Click to invite the player.	&7Chuột Phải để mời người chơi.
&7Click to unban the player.	&7Nhấp để bỏ cấm người chơi.
&7Click to uncoop the player.	&7Nhấp để gỡ hợp tác với người chơi.
&lIsland Members ({0}/{1})	&lThành Viên Đảo ({0}/{1})
&lIsland Banned Players ({0})	&lNgười Chơi Bị Cấm ({0})
&lIsland Coop Players ({0}/{1})	&lNgười Chơi Hợp Tác Đảo ({0}/{1})
&lMissions	&lNhiệm Vụ
&l{0} Missions	&lNhiệm Vụ {0}
&eFarmer Missions	&eNhiệm Vụ Nông Dân
&eFisherman Missions	&eNhiệm Vụ Ngư Dân
&eMiner Missions	&eNhiệm Vụ Thợ Mỏ
&eSlayer Missions	&eNhiệm Vụ Sát Thủy
&eExplorer Missions	&eNhiệm Vụ Nhà Thám Hiểm
